[dotenv@17.3.1] injecting env (3) from .env -- tip: ≡ƒ¢í∩╕Å auth for agents: https://vestauth.com
Total Invoices in DB: 50
Invoice ID: INV001, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV002, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV003, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV004, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV005, Customer ID: C002, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV006, Customer ID: C002, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV007, Customer ID: C002, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV008, Customer ID: C002, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV009, Customer ID: C003, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV010, Customer ID: C003, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV011, Customer ID: C003, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV012, Customer ID: C003, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV013, Customer ID: C004, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV014, Customer ID: C004, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV015, Customer ID: C004, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV016, Customer ID: C004, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV017, Customer ID: C005, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV018, Customer ID: C005, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV019, Customer ID: C005, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV020, Customer ID: C005, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV021, Customer ID: C006, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV022, Customer ID: C006, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV023, Customer ID: C006, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV024, Customer ID: C006, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV025, Customer ID: C007, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV026, Customer ID: C007, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV027, Customer ID: C007, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV028, Customer ID: C007, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV029, Customer ID: C008, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV030, Customer ID: C008, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV031, Customer ID: C008, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV032, Customer ID: C008, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV033, Customer ID: C009, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV034, Customer ID: C009, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV035, Customer ID: C009, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV036, Customer ID: C009, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV037, Customer ID: C010, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV038, Customer ID: C010, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV039, Customer ID: C010, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV040, Customer ID: C010, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV041, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV042, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV043, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV044, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV045, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV046, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV047, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV048, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV049, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
Invoice ID: INV050, Customer ID: C001, Org ID: 69c38d550e579a92339efbb8
